Date,Close/Last,Volume,Open,High,Low
09/06/2024,$170.02,2443937,$172.51,$173.51,$169.86
09/05/2024,$172.51,1893163,$173.98,$174.03,$171.23
09/04/2024,$173.62,2098072,$174.13,$174.585,$172.70
09/03/2024,$173.91,1972098,$174.43,$175.47,$173.11
08/30/2024,$174.60,2373597,$173.31,$174.81,$172.79
08/29/2024,$172.95,1999767,$172.44,$173.49,$171.71
08/28/2024,$171.83,1994294,$170.40,$172.60,$169.88
08/27/2024,$170.17,2005037,$169.83,$170.655,$169.00
08/26/2024,$169.85,1518941,$170.05,$171.12,$169.57
08/23/2024,$169.81,2428348,$169.36,$169.97,$168.44
08/22/2024,$168.79,1934070,$168.38,$169.21,$168.06
08/21/2024,$168.33,1819843,$167.41,$168.41,$166.70
08/20/2024,$168.04,1789864,$169.75,$169.77,$167.03
08/19/2024,$167.91,1369991,$167.63,$168.41,$167.13
08/16/2024,$167.32,3799303,$165.47,$167.43,$165.05
08/15/2024,$165.72,1902782,$165.00,$165.98,$164.16
08/14/2024,$164.03,1447598,$162.25,$164.35,$162.02
08/13/2024,$162.46,2203938,$161.25,$162.575,$160.85
08/12/2024,$161.10,2529895,$162.00,$162.92,$160.49
08/09/2024,$161.59,1576019,$159.95,$161.77,$159.34
08/08/2024,$160.15,1787075,$156.89,$160.44,$156.41
08/07/2024,$156.22,2318138,$159.01,$160.84,$155.96
08/06/2024,$157.34,2760928,$155.49,$159.39,$154.635
08/05/2024,$154.77,3614783,$157.46,$159.67,$154.17
08/02/2024,$158.92,3082216,$160.07,$161.01,$157.50
08/01/2024,$161.39,3070649,$164.17,$165.5566,$161.11
07/31/2024,$163.57,2077132,$163.58,$164.54,$162.9803
07/30/2024,$163.11,1660326,$163.74,$164.465,$162.51
07/29/2024,$162.71,2350399,$160.50,$163.91,$160.205
07/26/2024,$159.94,3345301,$156.99,$160.16,$156.89
07/25/2024,$156.01,5358448,$161.60,$162.47,$155.96
07/24/2024,$161.16,5170577,$160.00,$161.7259,$158.76
